First Name,Last Name,Company,Position,Connected On
FirstName_1,LastName_1,Company,Position,Connected On
FirstName_2,LastName_2,"Index Super Speciality Hospital, Indore",Quality Manager,24-Apr-26
FirstName_3,LastName_3,Tata Capital,Manager - PL - Digital ,23-Apr-26
FirstName_4,LastName_4,"Manning Consulting, New Delhi (India)",Sourcing Specialist,23-Apr-26
FirstName_5,LastName_5,State University of New York at Plattsburgh,International Orientation Leader,23-Apr-26
FirstName_6,LastName_6,UnitedHealth Group,Healthcare Data Analyst,22-Apr-26
FirstName_7,LastName_7,NLC Insurance Companies,Reporting Analyst,22-Apr-26
FirstName_8,LastName_8,Tata 1mg,Pharmacovigilance Senior Executive,22-Apr-26
FirstName_9,LastName_9,Admiral Group Plc,Team Manager,22-Apr-26
FirstName_10,LastName_10,Knack RCM,Senior Process Associate,21-Apr-26
FirstName_11,LastName_11,SPRY,Team Leader - RCM Payment Posting ,21-Apr-26
FirstName_12,LastName_12,"C.T. Male Associates Engineering, Surveying, Architecture, Landscape Architecture & Geology, DPC",Environmental Scientist I,20-Apr-26
FirstName_13,LastName_13,SUNY Plattsburgh SBE,SBE Marketing & Communications Intern,20-Apr-26
FirstName_14,LastName_14,NMD InfoTech,Data Analyst Intern,19-Apr-26
FirstName_15,LastName_15,,,19-Apr-26
FirstName_16,LastName_16,AIM Services Inc,Direct Support Professional,19-Apr-26
FirstName_17,LastName_17,1 Hotels,Barista,19-Apr-26
FirstName_18,LastName_18,Duval County Public Schools,Substitute Teacher — Math & Science Duval County Public Schools,18-Apr-26
FirstName_19,LastName_19,The Algebra Group,Data Analyst Intern,18-Apr-26
FirstName_20,LastName_20,GMP Pharmaceuticals Ltd,Machine Operator,18-Apr-26
FirstName_21,LastName_21,DNA Growth,Team Lead,18-Apr-26
FirstName_22,LastName_22,Ashoka Medicover Hospital Nashik Maharashtra ,Medical Administrator,18-Apr-26
FirstName_23,LastName_23,Dan's Miniature Golf,Team Member,17-Apr-26
FirstName_24,LastName_24,Urban Upbound,Tax Preparer,17-Apr-26
FirstName_25,LastName_25,Delta Rising Foundation,Data Analyst,17-Apr-26
FirstName_26,LastName_26,The Perfume Palette,Head of Business Development,17-Apr-26
FirstName_27,LastName_27,Oppenheim-Ephratah-St Johnsville Junior/Senior High School,English Teacher,17-Apr-26
FirstName_28,LastName_28,Self directed project,Ai trainer,17-Apr-26
FirstName_29,LastName_29,Admiral Solutions,Planning Analyst,17-Apr-26
FirstName_30,LastName_30,CVS Health,Business Analyst,17-Apr-26
FirstName_31,LastName_31,,,17-Apr-26
FirstName_32,LastName_32,TredxFinance,Trade Finance Specialist,17-Apr-26
FirstName_33,LastName_33,South Indian Bank,Customer Service Associate,17-Apr-26
FirstName_34,LastName_34,Oncquest Laboratories Ltd.,Assistant Manager Sales Admin & MIS,17-Apr-26
FirstName_35,LastName_35,Gemba Concepts,Software Development Engineer in Testing - 2,17-Apr-26
FirstName_36,LastName_36,Indivior,Medical Outcomes & Value Liaison Associate ,17-Apr-26
FirstName_37,LastName_37,Shalby Limited,Medical Officer,17-Apr-26
FirstName_38,LastName_38,Akwesasne Mohawk Casino Resort,Communications Administrator,17-Apr-26
FirstName_39,LastName_39,Southern Alberta Institute of Technology (SAIT),Data Analyst,17-Apr-26
FirstName_40,LastName_40,APIFDF Analytics LLC,Data Analyst,16-Apr-26
FirstName_41,LastName_41,Veridooh,Support Engineer,16-Apr-26
FirstName_42,LastName_42,datacareer.app 🤖,Data Analyst,16-Apr-26
FirstName_43,LastName_43,,,16-Apr-26
FirstName_44,LastName_44,Russell Tobin,Regulatory Specialist / Data Analyst,16-Apr-26
FirstName_45,LastName_45,,,16-Apr-26
FirstName_46,LastName_46,Job Adda Australia,Business Analyst Internship,16-Apr-26
FirstName_47,LastName_47,T.Pora CPA PC,Data Management,16-Apr-26
FirstName_48,LastName_48,EMPClaims,Senior Data Analyst,16-Apr-26
FirstName_49,LastName_49,Baderia Metro Prime Hospital - Jabalpur,Front Office Executive,16-Apr-26
FirstName_50,LastName_50,AIB,Senior Data Engineer,15-Apr-26
FirstName_51,LastName_51,Clinton Community College,Marketing Intern,15-Apr-26
FirstName_52,LastName_52,Symbiosis University Hospital and Research Centre,Intern,15-Apr-26
FirstName_53,LastName_53,Utah Museum of Fine Arts,Security Guard,15-Apr-26
FirstName_54,LastName_54,Carson's Woodside Tavern,Server,15-Apr-26
FirstName_55,LastName_55,State University of New York at Plattsburgh,Academic & Capstone Projects,15-Apr-26
FirstName_56,LastName_56,Upcore Technologies Pvt Ltd,Revenue Cycle Consultant,15-Apr-26
FirstName_57,LastName_57,,,15-Apr-26
FirstName_58,LastName_58,S&S Activewear,Data Analyst,15-Apr-26
FirstName_59,LastName_59,Delta Phi Epsilon Sorority,Vice President of Recruitment,15-Apr-26
FirstName_60,LastName_60,UCare,Technical Business Analyst Supervisor,15-Apr-26
FirstName_61,LastName_61,Berg Technologies Private Limited,Quality verifier,15-Apr-26
FirstName_62,LastName_62,Charles Schwab,Associate Software Engineer,15-Apr-26
FirstName_63,LastName_63,La Red de Hispanos,Data Analyst,15-Apr-26
FirstName_64,LastName_64,U.S. Bank,Gen AI/LLM Engineer / Data Scientist,15-Apr-26
FirstName_65,LastName_65,Prudential Financial,Senior Android Mobile app developer,15-Apr-26
FirstName_66,LastName_66,Hinduja Leyland Finance,Sales Executive,15-Apr-26
FirstName_67,LastName_67,Schluter Systems,Data Analytics Intern,15-Apr-26
FirstName_68,LastName_68,Deakin University,Deakin Business Development Clinic Consultant (Intern),15-Apr-26
FirstName_69,LastName_69,Infosys,System Engineer,15-Apr-26
FirstName_70,LastName_70,Self Employed,Data Analytics & Compliance Upskilling (Professional Development),15-Apr-26
FirstName_71,LastName_71,Unified Mentor,Data Analyst,15-Apr-26
FirstName_72,LastName_72,Digitize brand hub (india) pvt ltd ,Digital Marketing Intern,15-Apr-26
FirstName_73,LastName_73,Labmentix Private Limited,Data Analyst ,15-Apr-26
FirstName_74,LastName_74,Datta dental clinic,Associate Dentist,15-Apr-26
